Transcript,Label,Predicted Emotion,Mapped Value,speaker_id
"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",0,Neutral,0,937
"Well what does it all mean?  That's what I ask myself in my quest for ultimate truth.  Dear God, what does it all mean?",1,Happy,1,937
I don't know.  I put in that. request too. They didn't...,2,Neutral,0,937
He was out here when it broke.,0,Neutral,0,937
"Maybe if you were with someone else, too.",2,Neutral,0,937
Yes.  Meaning just that.,1,Neutral,0,937
"Oh Elliott, worms don't pop.",1,Angry,3,937
Fine.,0,Neutral,0,937
"Will you turn that off, it's driving me mad.",3,Angry,3,937
"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe.",3,Angry,3,937
"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",0,Neutral,0,937
No.  Wrong number. [LAUGHTER],1,Neutral,0,937
"Oh, so they're like really old too, really old ones?",0,Neutral,0,937
So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,2,Neutral,0,937
"He likes to keep tabs, you know.",1,Neutral,0,937
"Aw, geez.",2,Neutral,0,937
I wanted to get this settled first.,0,Neutral,0,937
Who knows?,1,Neutral,0,937
"Oh See, I don't care what you do, see.  You can paint yourself green and run naked through the Place Vendome and run off with all of the men of the world.  I shan't say a word, just as long as you love me best.",1,Happy,1,937
"Aw.  Thank you, darling.  The same applies to you too, except that if you so much as look at another woman I'll kill you.",1,Happy,1,937
No it's nothing like that. It's-,2,Neutral,0,937
Well maybe...maybe he just wanted to see her.,0,Neutral,0,937
"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.",2,Sad,2,937
I know.,2,Neutral,0,937
"I, umm. I guess, I guess that's kind of why I came.",0,Neutral,0,937
"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",3,Neutral,0,937
"Well, what of it?",0,Neutral,0,937
maybe get a car.,0,Neutral,0,937
"For God's sake, this is not about fish.",3,Angry,3,937
"It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne.  I said no, time's a wasting or something like that.",0,Neutral,0,937
"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",0,Neutral,0,937
And I didn't want any of it. I guess that included you.,2,Sad,2,937
"Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?",0,Neutral,0,937
"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",0,Neutral,0,937
Oh really?,0,Neutral,0,937
Oh.  You knew there was nothing in that.,1,Neutral,0,937
You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,2,Neutral,0,937
[LAUGHTER] And very much sillier.,1,Happy,1,937
"I'm not sorry, no. But I'm...I can't stay.",0,Sad,2,937
About what?,0,Neutral,0,937
"About all of that, about all I was talking about.",1,Neutral,0,937
Penny slots. That's what he plays.,0,Neutral,0,937
"Yeah.  But the piece of paper helps, too.",0,Neutral,0,937
"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",1,Neutral,0,937
"Oh shut up.  Let go.  I hate you, I hate you.  Do you hear?  You are a conceited and overbearing and utterly impossible.",3,Angry,3,937
Yes it is.,0,Neutral,0,937
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",2,Sad,2,937
I didn't say that.,0,Neutral,0,937
"Yeah.  Well.  You know, because he's leaving the next day.",1,Neutral,0,937
I knew nothing of the sort.  You took presents from him.,0,Neutral,0,937
Well I lost them.,2,Neutral,0,937
Right.,0,Neutral,0,937
"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",0,Neutral,0,937
That's the wind.,0,Neutral,0,937
Thank you.,0,Neutral,0,937
"I'm sorry, Joy.",2,Sad,2,937
[LAUGHTER] That sent shivers up my spine.,1,Happy,1,937
this is the only track record that we have and if it's not listed here then it's probably not anywhere.,0,Neutral,0,937
"Shut up. Shut up. God, I wouldn't marry you again if you came crawling back to me on a bended knee.  You are a vile, ill-tempered, mean little wench and I never want to see you again as long as I live.",3,Angry,3,937
Well what's the problem?  Let me change it.,0,Angry,3,937
Do you want to go home?  Are you cold?,0,Neutral,0,937
Yeah.,0,Neutral,0,937
"What have I got to hide?  What the hell is the matter with you, Kate?",3,Angry,3,937
Okay.,0,Neutral,0,937
Is that your phone?,1,Neutral,0,937
"That was a rouser, wasn't it?",1,Happy,1,937
Mmhmm.,0,Neutral,0,937
That's not your flashlight.,0,Neutral,0,937
Yeah.,2,Neutral,0,937
Excuse me.,0,Neutral,0,937
What the hell is this?,3,Angry,3,937
No. No,1,Neutral,0,937
Is it a big cemetery?,0,Neutral,0,937
...pick up anything?,0,Neutral,0,937
Nonsense.  They have a bag of venom behind their fangs and they snap. They snap.,3,Angry,3,937
Because they never do.  Have they...Have they ever?,3,Angry,3,937
"You know, actually now that you mention it, no I don't.",0,Neutral,0,937
"I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.",3,Angry,3,937
This is a big night for these little guys.  It's like life's last orgy.,0,Neutral,0,937
"I know.  It kind of went out of style, didn't it?",0,Neutral,0,937
"Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother.",3,Angry,3,937
It's not so bad; it's a good thing.,0,Neutral,0,937
"No, no.",0,Neutral,0,937
"Yeah. Yeah, I don't see- I don't see any--",0,Neutral,0,937
How long were you there for?,0,Neutral,0,937
[BREATHING],0,Neutral,0,937
You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,0,Sad,2,937
There are no people upstairs; it's a photographer's studio.,0,Neutral,0,937
Hmm.,0,Neutral,0,937
I'll send you lots of letters.,2,Neutral,0,937
And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.,0,Neutral,0,937
I didn't say that.,2,Neutral,0,937
Yeah.,0,Neutral,0,937
He's like a manager for a theatre.,0,Neutral,0,937
"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",2,Neutral,0,937
"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",2,Sad,2,937
No.  There's regular jobs on there.,0,Neutral,0,937
"Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting.",3,Angry,3,937
Don't you guys have access to computers over there.,0,Neutral,0,937
"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",0,Neutral,0,937
So what's up?  What's new?,0,Neutral,0,937
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,3,Angry,3,937
What?,0,Neutral,0,937
We flew in from Paris.  I've been shopping for three weeks.,3,Angry,3,937
I went to see her headstone a week or two ago.,2,Neutral,0,937
"There's babies over there, though, that need mothers.",0,Neutral,0,937
That's fair enough.,0,Neutral,0,937
Well so now we're married. We have cat children.,1,Happy,1,937
Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,0,Neutral,0,937
"What is going on here, Joe?",3,Angry,3,937
You know it's not just my business.,0,Neutral,0,937
"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",0,Neutral,0,937
I know.,0,Neutral,0,937
"Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.",3,Angry,3,937
That's sweet.,0,Neutral,0,937
Yeah.  I suppose I have been. But it's going from me.,2,Neutral,0,937
Ahh...we weren't in a good spot.,0,Neutral,0,937
"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",2,Neutral,0,937
"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",0,Neutral,0,937
Okay.,0,Neutral,0,937
She used to have these poetry parties on Memorial Day.,2,Sad,2,937
Yeah.,0,Neutral,0,937
Oh.  Yes I am.,3,Neutral,0,937
Hmm.,0,Neutral,0,937
"Of course, right.  That's where the real money is, being a student.",0,Neutral,0,937
Yeah.,0,Neutral,0,937
"Sit down, Mom.  I want to talk to you.",0,Neutral,0,937
"Presents?  It was only a trivial, little brooch.",1,Happy,1,937
"I guess, you know, everybody has to make sacrifices.",0,Neutral,0,937
"No.  But it has an outline, you know.",0,Neutral,0,937
"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.",3,Angry,3,937
Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.,0,Neutral,0,937
Do you want me to go get some champagne?,0,Neutral,0,937
What would I do with a fortune?,1,Neutral,0,937
So she wrote a lot of poetry?,0,Neutral,0,937
you know what?  I heard about that job.  I applied for that.,0,Neutral,0,937
"I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is.",2,Sad,2,937
Give me a...,1,Neutral,0,937
What am I going to do? Huh?,2,Neutral,0,937
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,2,Neutral,0,937
She needs a new name each state that we go into. [LAUGHTER],1,Happy,1,937
"this woman came up and, you know, it was hers. It was her person that was there.",0,Neutral,0,937
Fifty bucks. Mmhmm.,0,Neutral,0,937
Sort of embarrassed ever since I got here.,0,Neutral,0,937
It's kind of helpful when getting a job.,0,Neutral,0,937
Well then you'll wake up the people downstairs.,3,Neutral,0,937
I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,3,Angry,3,937
About what I was saying.,0,Neutral,0,937
"for such an inconvenience and your bag, but",0,Neutral,0,937
Well then maybe you can just call him and he can give you more money.  But right now all I can do--,0,Neutral,0,937
I don't know.,0,Neutral,0,937
[LAUGHTER],1,Neutral,0,937
"You are a vile, ill-tempered, loose living, wicked little beast and I never want to see you again as long as I live.",3,Angry,3,937
I'm going to ask her to marry me.,0,Neutral,0,937
No.,2,Neutral,0,937
[BREATHING],1,Neutral,0,937
I can not-- you are not here by choice.  Nobody would ride this bus by choice.,3,Angry,3,937
At the cemetery?,2,Neutral,0,937
"Look, you better turn that off. I don't want to wake up the people upstairs.",3,Angry,3,937
And I want lots and lots and lots of pictures.,2,Neutral,0,937
I will do no such thing.,3,Neutral,0,937
"Yeah, sure.",0,Neutral,0,937
He loves you.,1,Neutral,0,937
I guess he is.,0,Neutral,0,937
"But the pennies always get you because you end up spending like, you know, fifty bucks.",0,Neutral,0,937
I guess we don't need glasses.,1,Neutral,0,937
[LAUGHTER] I'll never forget his face. [LAUGHTER],1,Happy,1,937
"Uh, I think seven hundred and fifty dollars.",0,Neutral,0,937
I just- I know I don't make you happy.,2,Sad,2,937
You've always had a weak head.,3,Angry,3,937
Who do you think you are?,3,Angry,3,937
You went out of your way to torture me over Peter Burden.,0,Neutral,0,937
"Maybe you can send it to me, like stream it, yeah?",2,Neutral,0,937
"I don't really have any imagination, that's all I know how to say.",1,Neutral,0,937
"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",0,Neutral,0,937
I kissed you.,1,Neutral,0,937
"Really, Amanda.",3,Angry,3,937
Is this a joke?,3,Angry,3,937
Oh shut up.,3,Angry,3,937
Why?,0,Neutral,0,937
I did not.  You worked that whole thing up in your jealous imagination.,0,Angry,3,937
How many?,0,Neutral,0,937
"And then, you.  You've been kind of...",0,Neutral,0,937
"That's good.  Don't you have to like teach a class, too, when you do that?",0,Neutral,0,937
"You'll videotape everything, yeah?",2,Neutral,0,937
"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be.",1,Happy,1,937
They are away in Tunis.,0,Neutral,0,937
"I'll have a little, I think.",0,Neutral,0,937
Uh huh.,1,Neutral,0,937
Hi.  Thanks for waiting.,0,Neutral,0,937
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",2,Sad,2,937
"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",2,Sad,2,937
I just don't see why it has to be you.,2,Neutral,0,937
"There's another one, I can't remember.",0,Neutral,0,937
Mmhmm.,0,Neutral,0,937
things just aren't what they seem.,2,Neutral,0,937
How do you know he's even thinking about it?,0,Neutral,0,937
"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",2,Sad,2,937
"The bus, I'm riding the bus because I want to.",3,Angry,3,937
You ran through the sprinklers in the cemetery?,0,Neutral,0,937
It was at the slot machines.,1,Happy,1,937
I think I mentioned once before that I've had three minute liquor glasses the whole evening long.  A child of two cannot get drunk on that.,3,Angry,3,937
I have to find sitters.,0,Neutral,0,937
I know.,0,Neutral,0,937
You've been looking for a job for a long time; that was a long time ago.  Right?,0,Neutral,0,937
That's out of control.,3,Angry,3,937
I just don't know how I'm going to do it without you.,2,Sad,2,937
He's like a house manager. Yeah.  It's a good job.,0,Neutral,0,937
"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",0,Neutral,0,937
"We have a great view of the moon from here, though, huh?",0,Neutral,0,937
[LAUGHTER] Cat babies.,1,Angry,3,937
Oh.  My name is Sean. Hi.,0,Neutral,0,937
"I'll get out.  I'll get married and I'll move somewhere else, maybe New York.",0,Neutral,0,937
Sure.  All right.  Okay.,0,Neutral,0,937
Yeah.,0,Neutral,0,937
"So all right then, I'll just go ahead with it?",0,Neutral,0,937
"Clearly.  You know, do you have like a supervisor or something?",0,Neutral,0,937
He saw it.,0,Neutral,0,937
"Augie, you bought refreshments.",1,Neutral,0,937
But we're going to have a honeymoon cruise.,1,Happy,1,937
Oh.  That's very amusing indeed.,3,Angry,3,937
"It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?",2,Neutral,0,937
And your mother is close by.,0,Neutral,0,937
Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,1,Neutral,0,937
"Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go.",0,Neutral,0,937
"They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.",2,Neutral,0,937
Yeah.,3,Angry,3,937
Why not?,0,Neutral,0,937
Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,0,Neutral,0,937
"Hey, let's drive some place.  Huh?  Let's get out of here.",2,Neutral,0,937
Well.,0,Neutral,0,937
"Oh...well. Yeah, of course.",0,Neutral,0,937
Yes.,0,Neutral,0,937
I don't know.  He had a really good resume I guess and--,0,Neutral,0,937
"Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right.",3,Angry,3,937
I think I am not in the least bit drunk.,3,Happy,1,937
I don't think I'm anyone.,0,Neutral,0,937
Okay.,0,Neutral,0,937
Mmhmm.,0,Neutral,0,937
You are cruising for a bruising.  You are in so much trouble.,3,Angry,3,937
I don't know.,2,Neutral,0,937
I almost got married two years ago.,0,Neutral,0,937
"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up.",0,Happy,1,937
I don't even know how to start.,2,Sad,2,937
Do you remember the first year we came here?  It was like four years after we got married.,0,Neutral,0,937
"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",2,Neutral,0,937
"Augie, I'm sorry.",2,Sad,2,937
Last month--  Yeah.,2,Neutral,0,937
"Yes I am.   Stop it. Stop it.  Let go of me. Oh.  You're a cruel fiend.  I loathe and I hate you. Marry you again?  Never, never, never. I hope you die in torment, you brute beast cad.",3,Angry,3,937
"Listen, do you want to dance?",0,Neutral,0,937
You can't just toss off a thing like that because they weren't just men. You know?,2,Sad,2,937
What shall we do if they suddenly walk in on us.[LAUGHTER],1,Neutral,0,937
How much did he win at the slot?,0,Neutral,0,937
Yeah.,0,Neutral,0,937
Do you understand who my husband is?,3,Angry,3,937
"We renamed Brenda, Lumber Janet.",1,Happy,1,937
"And the last time before she died, I remember she couldn't really stand, umm...",2,Sad,2,937
"And I suppose you let him kiss you a good deal more than, too. Yes.  I suppose you guys had a riotous time, huh?  All out, no restraint at all.  Well, you never really had much anyhow.",3,Angry,3,937
What's your name?,3,Neutral,0,937
Twice is every time we have tried; that's ever.,3,Angry,3,937
"To save the environment, carpool.",0,Neutral,0,937
I won't stand for any nonsense.,3,Angry,3,937
"On the contrary, a child of two can get violently drunk on only one glass of brandy.",3,Angry,3,937
You have a business here.  What the hell is this?,3,Angry,3,937
With the amount of--,0,Neutral,0,937
What?,3,Neutral,0,937
"For God- Grow up, Augie.  The fish are not going to arrive.",3,Angry,3,937
"Wait, that's my point, too.",0,Neutral,0,937
Not particularly.,0,Neutral,0,937
Like you need another one of those.[LAUGHTER],1,Neutral,0,937
That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,1,Neutral,0,937
"You are far too temperamental, try to control yourself.",3,Angry,3,937
"The flashlight, the silver one.  There's only one, isn't there?",0,Neutral,0,937
"No particular reason.  Anyhow, they are very small ones.",0,Neutral,0,937
couple hours.,2,Neutral,0,937
"Right now all I can do is just give you this fifty dollars, I'm really sorry.",0,Sad,2,937
Yeah.  Do you have a resume?,0,Neutral,0,937
"You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.",3,Angry,3,937
It's a gift.,0,Neutral,0,937
Yeah.  In the old town part.,1,Neutral,0,937
"I know you are Augie, I know.",2,Neutral,0,937
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,3,Angry,3,937
"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  Do they?",1,Happy,1,937
Every day since.,1,Neutral,0,937
About what?,0,Neutral,0,937
I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,0,Neutral,0,937
"But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work.",2,Neutral,0,937
Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,0,Neutral,0,937
"I love you. Annie, I love you.",1,Happy,1,937
Yeah.,0,Neutral,0,937
It's got that about it.,3,Neutral,0,937
"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?",0,Neutral,0,937
I don't think you have done everything you could do because I don't have my bag here yet.,3,Angry,3,937
Or not.,0,Neutral,0,937
You shut up.,3,Angry,3,937
"Not very funny, darling.  Why don't you have some more brandy.",3,Sad,2,937
