Transcript,Label,Predicted Emotion,Mapped Value,speaker_id
"for such an inconvenience and your bag, but",0,Neutral,0,937
I won't stand for any nonsense.,3,Angry,3,937
Oh Come and kiss me darling before your body rots and worms pop out of your eye sockets.,1,Neutral,0,937
"Maybe if you were with someone else, too.",2,Neutral,0,937
"Oh shut up.  Let go.  I hate you, I hate you.  Do you hear?  You are a conceited and overbearing and utterly impossible.",3,Angry,3,937
Fifty bucks. Mmhmm.,0,Neutral,0,937
Right.,0,Neutral,0,937
"I guess, you know, everybody has to make sacrifices.",0,Neutral,0,937
"So all right then, I'll just go ahead with it?",0,Neutral,0,937
"No.  But it has an outline, you know.",0,Neutral,0,937
"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",0,Neutral,0,937
[LAUGHTER] Cat babies.,1,Angry,3,937
Well then maybe you can just call him and he can give you more money.  But right now all I can do--,0,Neutral,0,937
[LAUGHTER] That sent shivers up my spine.,1,Happy,1,937
"I just, you know, think you should try a little harder maybe.",0,Neutral,0,937
"That's good.  Don't you have to like teach a class, too, when you do that?",0,Neutral,0,937
"There's another one, I can't remember.",0,Neutral,0,937
I did not.  You worked that whole thing up in your jealous imagination.,0,Angry,3,937
Thank you.,0,Neutral,0,937
"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.",0,Neutral,0,937
You went out of your way to torture me over Peter Burden.,0,Neutral,0,937
"Uh, I think seven hundred and fifty dollars.",0,Neutral,0,937
No.  There's regular jobs on there.,0,Neutral,0,937
Okay. Calm-,0,Angry,3,937
Because they never do.  Have they...Have they ever?,3,Angry,3,937
How do you know why she waited?,0,Neutral,0,937
Oh-Oh.  It's a gift.  You're-You're helping me out here?,3,Angry,3,937
"Yes I am.   Stop it. Stop it.  Let go of me. Oh.  You're a cruel fiend.  I loathe and I hate you. Marry you again?  Never, never, never. I hope you die in torment, you brute beast cad.",3,Angry,3,937
Is there anything I can get you?  Do you want me to take care of anything for you or...?,0,Neutral,0,937
It's kind of helpful when getting a job.,0,Neutral,0,937
"Amanda, listen, listen.",3,Angry,3,937
Oh.  My name is Sean. Hi.,0,Neutral,0,937
He's not going to marry her.,3,Angry,3,937
Okay.,0,Neutral,0,937
"You are a vile, ill-tempered, loose living, wicked little beast and I never want to see you again as long as I live.",3,Angry,3,937
You can't just toss off a thing like that because they weren't just men. You know?,2,Sad,2,937
Yes.  One less car at a time.,0,Neutral,0,937
"Don't ask me that.  I hate it when you ask me that, you always ask me that.  It's insulting.",3,Angry,3,937
Shut up.,3,Angry,3,937
Just give it some more thought.,0,Neutral,0,937
"I don't want money, I want my clothes.",3,Angry,3,937
I just- I know I don't make you happy.,2,Sad,2,937
I know.,2,Neutral,0,937
"Hey, let's drive some place.  Huh?  Let's get out of here.",2,Neutral,0,937
Ahh...we weren't in a good spot.,0,Neutral,0,937
"I feel like I'm always just standing here waiting.  I feel like this night is going to be the night, but it never is.",2,Sad,2,937
What?,0,Neutral,0,937
"On this, I would.",0,Neutral,0,937
"If not me then, who?",2,Neutral,0,937
"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",2,Sad,2,937
No. No,1,Neutral,0,937
Yeah.,0,Neutral,0,937
"Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother.",3,Angry,3,937
"Okay.  So you were fine during that phone call from Marge and then dinner was okay.  And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go?  And I said, sure great, let's go.",0,Neutral,0,937
"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",2,Neutral,0,937
How do you know he's even thinking about it?,0,Neutral,0,937
"Wait, that's my point, too.",0,Neutral,0,937
"Listen, do you want to dance?",0,Neutral,0,937
Yeah.  I heard.,0,Neutral,0,937
Do you remember the first year we came here?  It was like four years after we got married.,0,Neutral,0,937
"I know.  Okay.  Well, um. Maybe--",0,Neutral,0,937
You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,0,Angry,3,937
Well I lost them.,2,Neutral,0,937
I can't raise a baby by myself.  How?,2,Neutral,0,937
I don't even know how to start.,2,Sad,2,937
You've always had a weak head.,3,Angry,3,937
"It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne.  I said no, time's a wasting or something like that.",0,Neutral,0,937
That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,1,Neutral,0,937
"Shut up. Shut up. God, I wouldn't marry you again if you came crawling back to me on a bended knee.  You are a vile, ill-tempered, mean little wench and I never want to see you again as long as I live.",3,Angry,3,937
Not particularly.,0,Neutral,0,937
"Maybe you can send it to me, like stream it, yeah?",2,Neutral,0,937
"You're the one who probably wishes he was with somebody else.  Somebody who doesn't take things so seriously, who could enjoy herself.",2,Sad,2,937
Is this a joke?,3,Angry,3,937
"Um, actually, I don't know. I don't know. Oh really?",0,Neutral,0,937
What's your name?,3,Neutral,0,937
[LAUGHTER],1,Neutral,0,937
You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,2,Neutral,0,937
Nonsense.  They have a bag of venom behind their fangs and they snap. They snap.,3,Angry,3,937
"I love you. Annie, I love you.",1,Happy,1,937
"And then, you.  You've been kind of...",0,Neutral,0,937
you know what?  I heard about that job.  I applied for that.,0,Neutral,0,937
"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",2,Neutral,0,937
This is the end.  Do you hear me?  Finally and forever.,3,Angry,3,937
"You're quite insufferable, I expect it's because you are drunk.",3,Angry,3,937
It's not so bad; it's a good thing.,0,Neutral,0,937
[LAUGHTER],1,Neutral,0,937
Yeah.,0,Neutral,0,937
"For one thing, your mother much as told me to go.",0,Neutral,0,937
Why didn't you let me know?,1,Neutral,0,937
I'll send you lots of letters.,2,Neutral,0,937
Oh.  She was there?,0,Neutral,0,937
[LAUGHTER] I'll never forget his face. [LAUGHTER],1,Happy,1,937
I went to see her headstone a week or two ago.,2,Neutral,0,937
"We renamed Brenda, Lumber Janet.",1,Happy,1,937
You're not.,3,Neutral,0,937
He loves you.,1,Neutral,0,937
"Clearly.  You know, do you have like a supervisor or something?",0,Neutral,0,937
Yeah.  I know.,2,Neutral,0,937
Is this a Masters or a P.h.D.?  Or can you...? Nice,0,Neutral,0,937
"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",0,Neutral,0,937
"Oh...well. Yeah, of course.",0,Neutral,0,937
"I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",1,Happy,1,937
[LAUGHTER] And very much sillier.,1,Happy,1,937
So she wrote a lot of poetry?,0,Neutral,0,937
We flew in from Paris.  I've been shopping for three weeks.,3,Angry,3,937
It's a gift.,0,Neutral,0,937
You know.,0,Neutral,0,937
What would I do with a fortune?,1,Neutral,0,937
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,2,Neutral,0,937
"That's very interesting Amanda. How about a child of four?  Or a child of six?  Or a child of nine? We can get a good little conversation going on about this, you know, intemperate tots.",3,Angry,3,937
Do you want to take off your shoes?,1,Neutral,0,937
I'd rather not remember some things.  I'd rather not hope for some things.,2,Sad,2,937
"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",2,Neutral,0,937
That's fair enough.,0,Neutral,0,937
I guess he is.,0,Neutral,0,937
I'm going to ask her to marry me.,0,Neutral,0,937
Mmhmm.,0,Neutral,0,937
Don't laugh at me.  I'm being serious.,1,Happy,1,937
"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up.",0,Neutral,0,937
[LAUGHTER] That's really romantic.,1,Neutral,0,937
I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,3,Angry,3,937
Yeah.,0,Neutral,0,937
maybe get a car.,0,Neutral,0,937
No.  I am just making myself fascinating for you.,3,Neutral,0,937
"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",0,Neutral,0,937
Yeah.,0,Neutral,0,937
I think I am not in the least bit drunk.,3,Happy,1,937
"Okay.  So I am putting out the pets, getting the car out of the garage.",0,Neutral,0,937
"Well what does it all mean?  That's what I ask myself in my quest for ultimate truth.  Dear God, what does it all mean?",1,Happy,1,937
[LAUGHTER],1,Neutral,0,937
"I know you are Augie, I know.",2,Neutral,0,937
"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",2,Neutral,0,937
I know.,0,Neutral,0,937
How many?,0,Neutral,0,937
That's out of control.,3,Angry,3,937
"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",0,Neutral,0,937
Don't you guys have access to computers over there.,0,Neutral,0,937
Yes it is.,0,Neutral,0,937
Yeah.,0,Neutral,0,937
Pretty much all.,2,Neutral,0,937
"Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right.",3,Angry,3,937
Penny slots. That's what he plays.,0,Neutral,0,937
He's like a house manager. Yeah.  It's a good job.,0,Neutral,0,937
She is not his girl.  She knows she's not.,3,Angry,3,937
"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them.  And I remember thinking, this is it.  You know, finally, I am as happy as I'm supposed to be.",1,Happy,1,937
You ran through the sprinklers in the cemetery?,0,Neutral,0,937
He turned to you and was like...,0,Neutral,0,937
"Look, you better turn that off. I don't want to wake up the people upstairs.",3,Angry,3,937
I guess we don't need glasses.,1,Neutral,0,937
[LAUGHTER],1,Neutral,0,937
"I won't.  Let go, let go of me. Listen, listen?  I'm sick and tired of listening to you, you sadistic bully.",3,Angry,3,937
I can not-- you are not here by choice.  Nobody would ride this bus by choice.,3,Angry,3,937
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",2,Sad,2,937
"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",0,Neutral,0,937
"God, this is great.  Think about this.  I know you are not interested, but just think about this.",1,Happy,1,937
"Uh, what?  Craig's List?  Oh the internet thing?",0,Neutral,0,937
What?,3,Neutral,0,937
What shall we do if they suddenly walk in on us.[LAUGHTER],1,Neutral,0,937
Uh huh.,1,Neutral,0,937
couple hours.,2,Neutral,0,937
"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",2,Neutral,0,937
"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",0,Neutral,0,937
Yeah.,3,Angry,3,937
How much did he win at the slot?,0,Neutral,0,937
"No, no.",0,Neutral,0,937
"For God's sake, this is not about fish.",3,Angry,3,937
"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",3,Neutral,0,937
I have to find sitters.,0,Neutral,0,937
"There's babies over there, though, that need mothers.",0,Neutral,0,937
No.  Wrong number. [LAUGHTER],1,Neutral,0,937
"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.",3,Angry,3,937
"You'll videotape everything, yeah?",2,Neutral,0,937
"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",0,Neutral,0,937
"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",0,Neutral,0,937
No it isn't.,3,Neutral,0,937
"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe.",3,Angry,3,937
"Yeah. Yeah, I don't see- I don't see any--",0,Neutral,0,937
"Augie, you bought refreshments.",1,Neutral,0,937
And look what I got here.,1,Neutral,0,937
You did?,0,Neutral,0,937
"Well, what of it?",0,Neutral,0,937
"Snap, snap, snap.  You know you are like a little adder.",3,Angry,3,937
"I don't really have any imagination, that's all I know how to say.",1,Neutral,0,937
Is it a big cemetery?,0,Neutral,0,937
"Aw, geez.",2,Neutral,0,937
Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,0,Neutral,0,937
You have a business here.  What the hell is this?,3,Angry,3,937
"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",0,Neutral,0,937
Yeah.,2,Neutral,0,937
"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy.  Do they?",1,Happy,1,937
"They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.",2,Neutral,0,937
I'm just saying I have a friend that got a good job on it so I was just recommending it.,0,Neutral,0,937
I don't know.  He had a really good resume I guess and--,0,Neutral,0,937
She needs a new name each state that we go into. [LAUGHTER],1,Happy,1,937
Fine.,0,Neutral,0,937
You know it's not just my business.,0,Neutral,0,937
I don't know.  I put in that. request too. They didn't...,2,Neutral,0,937
Do you want me to go get some champagne?,0,Neutral,0,937
"Yeah, sure.",0,Neutral,0,937
Then help me stay here.,0,Neutral,0,937
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,3,Angry,3,937
You started to write me.,0,Neutral,0,937
"So maybe we are in the wrong spot, but we are with the right person.",0,Neutral,0,937
Sort of embarrassed ever since I got here.,0,Neutral,0,937
"He likes to keep tabs, you know.",1,Neutral,0,937
However I believe the real cause of that row was Peter Burden.,0,Neutral,0,937
I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,0,Neutral,0,937
Or not.,1,Neutral,0,937
Yes it is.,0,Neutral,0,937
"I, umm. I guess, I guess that's kind of why I came.",0,Neutral,0,937
Twice is every time we have tried; that's ever.,3,Angry,3,937
Every day since.,1,Neutral,0,937
Who knows?,1,Neutral,0,937
Hmm.,0,Neutral,0,937
"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",0,Neutral,0,937
Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,0,Neutral,0,937
What am I going to do? Huh?,2,Neutral,0,937
How long were you there for?,0,Neutral,0,937
They are away in Tunis.,0,Neutral,0,937
Well maybe...maybe he just wanted to see her.,0,Neutral,0,937
Who's in charge?  Who is the president of Jet Blue?,3,Angry,3,937
Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,0,Neutral,0,937
beating around the bush.,1,Angry,3,937
About what?,0,Neutral,0,937
So what's up?  What's new?,0,Neutral,0,937
I'm beginning to think this might be the right spot after all.,1,Neutral,0,937
"I don't understand.  You've already done so much, I don't know why do you have to go back.",2,Sad,2,937
Oh.  I hadn't even thought about that.,1,Neutral,0,937
"Hmm.  I noticed that, it's pretty. Big old white moon.",1,Neutral,0,937
I didn't say that.,0,Neutral,0,937
Mind your own business.,3,Angry,3,937
Yes.  Meaning just that.,1,Neutral,0,937
Fine if you insist on being boorish and idiotic.,3,Angry,3,937
Oh.  That's very amusing indeed.,3,Angry,3,937
At the cemetery?,2,Neutral,0,937
"The flashlight, the silver one.  There's only one, isn't there?",0,Neutral,0,937
"Oh really.  It's a pity you didn't have any brandy, it would have made you a little less disagreeable.",3,Angry,3,937
Can I help you?,1,Neutral,0,937
"You are far too temperamental, try to control yourself.",3,Angry,3,937
So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,2,Neutral,0,937
"Oh See, I don't care what you do, see.  You can paint yourself green and run naked through the Place Vendome and run off with all of the men of the world.  I shan't say a word, just as long as you love me best.",1,Happy,1,937
I just want you to know Annie.,0,Neutral,0,937
Yeah.,0,Neutral,0,937
Just don't think like that.,3,Angry,3,937
Yeah.,0,Neutral,0,937
"Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look.",3,Angry,3,937
"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",0,Neutral,0,937
"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",0,Neutral,0,937
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",3,Neutral,0,937
"I'm sorry, Joy.",2,Sad,2,937
Mmhmm.,0,Neutral,0,937
I almost got married two years ago.,0,Neutral,0,937
"Just, you know, kicking myself.",2,Neutral,0,937
"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",2,Sad,2,937
Oh shut up.,3,Angry,3,937
Well so now we're married. We have cat children.,1,Happy,1,937
"Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.",3,Angry,3,937
Yes.,0,Neutral,0,937
"I'll have a little, I think.",0,Neutral,0,937
Turn it off.,3,Angry,3,937
Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,1,Neutral,0,937
"Sit down, Mom.  I want to talk to you.",0,Neutral,0,937
Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.,0,Neutral,0,937
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",2,Sad,2,937
Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.,0,Neutral,0,937
I knew they would.,0,Neutral,0,937
I know.,0,Neutral,0,937
Yeah.,0,Neutral,0,937
"I'll get out.  I'll get married and I'll move somewhere else, maybe New York.",0,Neutral,0,937
"Does that mean that you're going to get citizenship, too, in- in England or whatever?",0,Neutral,0,937
"I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.",3,Angry,3,937
We've got to say it to him.,0,Neutral,0,937
"There's people that have given more though, you know?",2,Neutral,0,937
Who do you think you are?,3,Angry,3,937
[BREATHING],0,Neutral,0,937
I'm not frustrated.,3,Neutral,0,937
"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",0,Neutral,0,937
"Carla, can I ask you something?  Now, don't take this the wrong way, but are you on your period?",0,Neutral,0,937
"Right now all I can do is just give you this fifty dollars, I'm really sorry.",0,Sad,2,937
"Oh Elliott, worms don't pop.",1,Angry,3,937
"We have a great view of the moon from here, though, huh?",0,Neutral,0,937
Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,3,Angry,3,937
Is that your phone?,1,Neutral,0,937
"And I suppose you let him kiss you a good deal more than, too. Yes.  I suppose you guys had a riotous time, huh?  All out, no restraint at all.  Well, you never really had much anyhow.",3,Angry,3,937
"Shh.  If we're very quiet, the fish might come.",0,Neutral,0,937
"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",0,Neutral,0,937
"The bus, I'm riding the bus because I want to.",3,Angry,3,937
Oh.  You knew there was nothing in that.,1,Neutral,0,937
Okay.,0,Neutral,0,937
Well then you'll wake up the people downstairs.,3,Neutral,0,937
...pick up anything?,0,Neutral,0,937
"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",0,Neutral,0,937
"You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.",3,Angry,3,937
I will do no such thing.,3,Neutral,0,937
I- I-I didn't-- okay.,0,Neutral,0,937
"Not very funny, darling.  Why don't you have some more brandy.",3,Angry,3,937
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],1,Happy,1,937
Uh huh.,0,Neutral,0,937
Yeah.,2,Neutral,0,937
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,3,Angry,3,937
"And the last time before she died, I remember she couldn't really stand, umm...",2,Sad,2,937
Well.,0,Neutral,0,937
I wanted to get this settled first.,0,Neutral,0,937
Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,0,Neutral,0,937
"The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER]  How utterly, utterly ridiculous.",1,Angry,3,937
You are cruising for a bruising.  You are in so much trouble.,3,Angry,3,937
Did you see much of Peter Burden after our divorce?,3,Angry,3,937
You're not sorry you came.,0,Neutral,0,937
"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",1,Neutral,0,937
About what I was saying.,0,Neutral,0,937
Mmhmm.,0,Neutral,0,937
Okay.  I'll do that.,3,Neutral,0,937
Mmhmm.,0,Neutral,0,937
You've been looking for a job for a long time; that was a long time ago.  Right?,0,Neutral,0,937
"Well I got an idea, but what's your story?",0,Neutral,0,937
"Yeah.  But the piece of paper helps, too.",0,Neutral,0,937
I don't think you have done everything you could do because I don't have my bag here yet.,3,Angry,3,937
"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",3,Angry,3,937
"I am riding the bus, but by choice.",0,Neutral,0,937
And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.,0,Neutral,0,937
No it's nothing like that. It's-,2,Neutral,0,937
Is there a problem?,0,Neutral,0,937
"Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.",0,Neutral,0,937
Give me a kiss.,1,Neutral,0,937
Give me a...,1,Neutral,0,937
Whose is it?,0,Neutral,0,937
Uh-huh.,0,Neutral,0,937
Yeah.  Do you have a resume?,0,Neutral,0,937
this is the only track record that we have and if it's not listed here then it's probably not anywhere.,0,Neutral,0,937
Do you want to get married again?,1,Neutral,0,937
"Of course, right.  That's where the real money is, being a student.",0,Neutral,0,937
I don't know.,2,Neutral,0,937
Oh.  Yes I am.,3,Neutral,0,937
